sample_analysis,sample_analysis_units,sample_analysis_description,sample_analysis_type,sample_analysis_type_description
dry_bulk_density_g_cm3,g·cm-3,"Sediment dry bulk density (g·cm-3), calculated using the dry weight of the sample and the total sample volume: (dry mass / total volume).",sample_sediment_properties,Sedimentological properties of the sample
clay_%_2microm,µm,Content of clay (< 2 µm) in the sample,sample_sediment_properties,Sedimentological properties of the sample
median_grain_size_microm,µm,Median sediment grain size of the sample,sample_sediment_properties,Sedimentological properties of the sample
mean_grain_size_microm_error,µm,Error of mean grain size of the sample,sample_sediment_properties,Sedimentological properties of the sample
mode_grain_size_microm,µm,Grain size mode of the sample,sample_sediment_properties,Sedimentological properties of the sample
surface_area_m2_g_error,m2·g,Error of sediment surface area,sample_sediment_properties,Sedimentological properties of the sample
surface_area_m2_g,m2·g,Sediment surface area,sample_sediment_properties,Sedimentological properties of the sample
clay_%_4microm,%,Content of clay (< 4 µm) in the sample,sample_sediment_properties,Sedimentological properties of the sample
mud_silt_clay_%,%,"Content of muddy sediment, consisting of the combination of both silt and clay sediment fraction (< 63 µm)",sample_sediment_properties,Sedimentological properties of the sample
silt_%,%,Content of silt (4-63 µm) in the sample,sample_sediment_properties,Sedimentological properties of the sample
porosity,-,Relative amount of pore space within a sample volume. Porosity is a dimensionless parameter that ranges from 0 to 1. It is calculated as volume of pore space / total sample volume (Vpore/V).,sample_sediment_properties,Sedimentological properties of the sample
water_content_%,%,"Water content of the sample (%), calculated dividing the water mass (or difference of total mass with dry mass) by the total mass: wet mass / total mass ·100 %",sample_sediment_properties,Sedimentological properties of the sample
gravel_%,%,Content of gravel (> 2 mm) in the sample,sample_sediment_properties,Sedimentological properties of the sample
mean_grain_size_microm,µm,Mean grain size of the sample,sample_sediment_properties,Sedimentological properties of the sample
sand_%,%,Content of sand (63 µm-2 mm) in the sample,sample_sediment_properties,Sedimentological properties of the sample
OC:ON_ratio_error,,Error of OC:ON ratio,sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
OC:TN_ratio,,Organic carbon to total nitrogen ratio,sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
OC:TN_ratio_error,,Error of OC:TN ratio,sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
P_total_%,%,Total phosphorus concentration,sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
P_org_%_error,%,Error of biogenic phosphorus concentration,sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
P_org_%,%,Biogenic phosphorus concentration,sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
SiO2_%,%,Biogenic silicate content (opal),sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
SiO2_%_error,%,Error of biogenic silicate content (opal),sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
S_total_%,%,Total sulphur content (%),sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
P_total_%_error,%,Error of total phosphorus concentration,sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
OC:ON_ratio,,Organic carbon to organic nitrogen ratio,sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
total_nitrogen_%,%,Total nitrogen content (% = g TN / 100 g sediment),sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
inorganic_nitrogen_%_error,%,"Error of the inorganic nitrogen content, if available",sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
inorganic_nitrogen_%,%,Inorganic nitrogen content (% = g IN / 100 g sediment),sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
organic_nitrogen_%_error,%,"Error of the organic nitrogen content, if available",sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
CaCO3_%_error,%,"Error of CaCO3 content, if available",sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
CaCO3_%,%,CaCO3 content (% = g CaCO3 / 100 g sediment),sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
total_inorganic_carbon_%_error,%,"Error of the total inorganic carbon content, if available",sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
total_inorganic_carbon_%,%,Total inorganic carbon content (% = g TIC / 100 sediment),sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
OM_LOI_%_error,%,Error of organic matter content estimated through loss on ignition,sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
OM_LOI_%,%,Organic matter content estimated through loss on ignition,sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
total_organic_carbon_%_error,%,"Error of the total organic carbon content, if available",sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
total_organic_carbon_%,%,Total organic carbon content (% = g TOC / 100 g sediment),sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
total_carbon_%_error,%,"Error of the total carbon content, if available",sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
total_carbon_%,%,Total carbon content (% = g TC /100 g sediment) ,sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
total_nitrogen_%_error,%,"Error of the total nitrogen content, if available",sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
organic_nitrogen_%,%,Organic nitrogen content (% = g ON / 100 g sediment),sample_composition,"Elemental composition of the sample (OC, TN, CaCO3, SiO2)"
Delta_15N,‰,Delta notation of 15N,sample_isotopes,Stable isotopic concentrations of each sample and C-14 data
Delta_15N_error,‰,Error in delta 15N,sample_isotopes,Stable isotopic concentrations of each sample and C-14 data
Delta_18O_error,‰,Error in delta 18O,sample_isotopes,Stable isotopic concentrations of each sample and C-14 data
Delta_18O,‰,Delta notation of 18O,sample_isotopes,Stable isotopic concentrations of each sample and C-14 data
Delta_13C_error,‰,Error in delta 13C (OC),sample_isotopes,Stable isotopic concentrations of each sample and C-14 data
Delta_13C,‰,Delta notation of 13C of acidified samples (OC content) with respect to Vienna Pee Dee Belemnite (VPDB) standard.,sample_isotopes,Stable isotopic concentrations of each sample and C-14 data
Delta_14C,‰,Delta notation of 14C in acidified samples (OC) corrected for age,sample_14C,C-14 data of sediment sample
Delta_14C_error,‰,Error in delta 14C (OC),sample_14C,C-14 data of sediment sample
C14_laboratory,,Laboratory where C-14 was analyzed in,sample_14C,C-14 data of sediment sample
Age_14C_ybp_error,years before present,Error in the C-14 age of the sample (OC),sample_14C,C-14 data of sediment sample
Age_14C_ybp,years before present,Age of OC in the sample estimated from C-14 ,sample_14C,C-14 data of sediment sample
Fm_14C_error,,Error of the fraction modern of C-14 (OC),sample_14C,C-14 data of sediment sample
Fm_14C,,Fraction modern of C-14 in acidified samples (OC),sample_14C,C-14 data of sediment sample
C14_label,,AMS label number of the 14C measurement,sample_14C,C-14 data of sediment sample
